,text,POS,lemma,lemma_count,lemmas,lemma_combination_count,start_idx,end_idx,text_ID,paragraph_idx,sentence_initial,valid,AOI_IDX,end_token_idx,start_token_idx
0,de gele trui,"DET, ADJ, NOUN",trui,13,"de, gele, trui",6,2,4,0.0,0.0,False,Lemma occurs to often,"0, 1, 2",5.0,3.0
1,De gele trui,"DET, ADJ, NOUN",trui,13,"de, gele, trui",6,7,9,0.0,1.0,False,Lemma occurs to often,"3, 4, 5",3.0,1.0
2,het wielrennen,"DET, NOUN",wielrennen,1,"het, wielrennen",1,13,14,0.0,1.0,False,,"6, 7",8.0,7.0
3,Frankrijk,NOUN,frankrijk,1,frankrijk,1,16,16,0.0,1.0,True,Token contains Named Entity,8,9.0,9.0
4,de bekendste wielerwedstrijd,"DET, ADJ, NOUN",wielerwedstrijd,3,"de, bekendste, wielerwedstrijd",1,19,21,0.0,1.0,False,,"9, 10, 11",14.0,12.0
5,de wereld,"DET, NOUN",wereld,1,"de, wereld",1,23,24,0.0,1.0,False,,"12, 13",17.0,16.0
6,De winnaar,"DET, NOUN",winnaar,1,"de, winnaar",1,26,27,0.0,1.0,False,Sentence initial,"14, 15",19.0,18.0
7,twee zoenen,"NUM, NOUN",zoenen,1,"twee, zoenen",1,29,30,0.0,1.0,False,,"16, 17",22.0,21.0
8,de rondemissen,"DET, NOUN",rondemissen,1,"de, rondemissen",1,32,33,0.0,1.0,False,,"18, 19",25.0,24.0
9,een frisse gele trui,"DET, ADJ, ADJ, NOUN",trui,13,"een, frisse, gele, trui",1,35,38,0.0,1.0,False,Lemma occurs to often,"20, 21, 22, 23",30.0,27.0
10,de gele trui,"DET, ADJ, NOUN",trui,13,"de, gele, trui",6,43,45,0.0,1.0,False,Lemma occurs to often,"24, 25, 26",36.0,34.0
11,De eerste gele trui,"DET, NUM, ADJ, NOUN",trui,13,"de, eerste, gele, trui",1,49,52,0.0,2.0,False,Lemma occurs to often,"27, 28, 29, 30",4.0,1.0
12,een eeuw,"DET, NOUN",eeuw,3,"een, eeuw",2,54,55,0.0,2.0,False,,"31, 32",7.0,6.0
13,De wielerwedstrijd,"DET, NOUN",wielerwedstrijd,3,"de, wielerwedstrijd",1,59,60,0.0,2.0,False,Sentence initial,"33, 34",11.0,10.0
14,een modebewuste wielrenner,"DET, ADJ, NOUN",wielrenner,2,"een, modebewuste, wielrenner",1,63,65,0.0,2.0,False,,"35, 36, 37",16.0,14.0
15,zijn shirt,"PRON, NOUN",shirt,1,"zijn, shirt",1,74,75,0.0,2.0,False,,"38, 39",25.0,24.0
16,een kanarie,"DET, NOUN",kanarie,1,"een, kanarie",1,84,85,0.0,2.0,False,,"40, 41",34.0,33.0
17,de felle kleur,"DET, ADJ, NOUN",kleur,2,"de, felle, kleur",1,88,90,0.0,2.0,False,,"42, 43, 44",38.0,36.0
18,zijn jasje,"PRON, NOUN",jasje,1,"zijn, jasje",1,92,93,0.0,2.0,False,,"45, 46",41.0,40.0
19,het peloton,"DET, NOUN",peloton,1,"het, peloton",1,108,109,0.0,2.0,False,,"47, 48",56.0,55.0
20,de kleur,"DET, NOUN",kleur,2,"de, kleur",1,117,118,0.0,3.0,False,,"49, 50",7.0,6.0
21,geel,NOUN,geel,1,geel,1,119,119,0.0,3.0,False,,51,8.0,8.0
22,Organisator,NOUN,organisator,1,organisator,1,128,128,0.0,3.0,True,Sentence initial,52,14.0,14.0
23,de wedstrijd,"DET, NOUN",wedstrijd,2,"de, wedstrijd",2,130,131,0.0,3.0,False,,"53, 54",17.0,16.0
24,een gele sportkrant,"DET, ADJ, NOUN",krant,3,"een, gele, krant",1,133,135,0.0,3.0,False,,"55, 56, 57",21.0,19.0
25,Het idee,"DET, NOUN",idee,1,"het, idee",1,137,138,0.0,3.0,False,Sentence initial,"58, 59",23.0,22.0
26,een link,"DET, NOUN",link,1,"een, link",1,142,143,0.0,3.0,False,,"60, 61",28.0,27.0
27,de gele trui,"DET, ADJ, NOUN",trui,13,"de, gele, trui",6,148,150,0.0,3.0,False,Lemma occurs to often,"62, 63, 64",35.0,33.0
28,hun krant,"PRON, NOUN",krant,3,"hun, krant",1,152,153,0.0,3.0,False,,"65, 66",38.0,37.0
29,de wedstrijd,"DET, NOUN",wedstrijd,2,"de, wedstrijd",2,161,162,0.0,3.0,False,,"67, 68",45.0,44.0
30,meer kranten,"NUM, NOUN",krant,3,"meer, krant",1,169,170,0.0,3.0,False,,"69, 70",52.0,51.0
31,De gele trui,"DET, ADJ, NOUN",trui,13,"de, gele, trui",6,173,175,0.0,4.0,False,Lemma occurs to often,"71, 72, 73",3.0,1.0
32,navolging,NOUN,navolging,1,navolging,1,177,177,0.0,4.0,False,,74,5.0,5.0
33,een groene trui,"DET, ADJ, NOUN",trui,13,"een, groene, trui",1,181,183,0.0,4.0,False,Lemma occurs to often,"75, 76, 77",10.0,8.0
34,het puntenklassement,"DET, NOUN",puntenklassement,1,"het, puntenklassement",1,185,186,0.0,4.0,False,,"78, 79",13.0,12.0
35,een witte trui,"DET, ADJ, NOUN",trui,13,"een, witte, trui",2,188,190,0.0,4.0,False,Lemma occurs to often,"80, 81, 82",16.0,14.0
36,het jongerenklassement,"DET, NOUN",jongerenklassement,1,"het, jongerenklassement",1,192,193,0.0,4.0,False,,"83, 84",19.0,18.0
37,de zogenaamde bolletjestrui,"DET, ADJ, NOUN",trui,13,"de, zogenaamde, trui",1,195,197,0.0,4.0,False,Lemma occurs to often,"85, 86, 87",23.0,21.0
38,een witte trui,"DET, ADJ, NOUN",trui,13,"een, witte, trui",2,199,201,0.0,4.0,False,Lemma occurs to often,"88, 89, 90",26.0,24.0
39,stippen,NOUN,stippen,1,stippen,1,203,203,0.0,4.0,False,,91,28.0,28.0
40,het bergklassement,"DET, NOUN",bergklassement,1,"het, bergklassement",1,206,207,0.0,4.0,False,,"92, 93",31.0,30.0
41,Veel wielerwedstrijden,"NUM, NOUN",wielerwedstrijd,3,"veel, wielerwedstrijd",1,209,210,0.0,4.0,True,Sentence initial,"94, 95",33.0,32.0
42,het voorbeeld,"DET, NOUN",voorbeeld,2,"het, voorbeeld",1,212,213,0.0,4.0,False,,"96, 97",36.0,35.0
43,de gele trui,"DET, ADJ, NOUN",trui,13,"de, gele, trui",6,215,217,0.0,4.0,False,Lemma occurs to often,"98, 99, 100",40.0,38.0
